frame	ecc	ep	mass	particle	signal	size	x	y	z
61	0.147152220192	0.0308858237868	6966.45315824	0.0	180.565627059	355420	646.105403326	567.015741092	61
62	0.0377209532783	0.029437275698	7962.68518493	0.0	191.499798862	355420	653.577422304	568.248252926	62
63	0.0713644907679	0.0257822349386	9473.33749814	0.0	201.882051453	355420	659.654647607	565.590781384	63
64	0.200796088801	0.0315536915808	6819.9381822	0.0	183.940241429	355420	660.736358712	566.113790273	64
65	0.0664439143785	0.0277185608744	8455.37889237	0.0	208.296885729	355420	660.997883221	566.334030629	65
66	0.0750708076259	0.0283653787108	7396.85823258	0.0	174.033223377	355420	661.535519128	567.098509882	66
67	0.173228977116	0.0292024966659	7944.72154448	0.0	189.22379142	355420	664.52429933	564.393516232	67
68	0.254750063893	0.0253234931133	8469.11028328	0.0	193.5193459	355420	667.475227341	563.826207937	68
69	0.108785157634	0.0225691658127	11075.7983184	0.0	194.216270834	355420	668.8784873	562.003905337	69
70	0.22535707438	0.0271611295801	9489.17492894	0.0	198.27319635	355420	668.728554309	566.034766917	70
71	0.164526855392	0.0280587977531	8827.57273315	0.0	203.645108187	355420	669.342573256	565.979123241	71
72	0.138213678408	0.0283745100947	8965.52686255	0.0	206.175879069	355420	671.341354092	559.702769123	72
73	0.114984548678	0.0254374369769	10311.2060307	0.0	213.559016804	355420	670.249181087	563.557313036	73
74	0.14362500429	0.0263336694729	10850.9663894	0.0	215.587756912	355420	670.756374997	565.292385149	74
75	0.140130655042	0.029845779474	8909.90952003	0.0	208.688502539	355420	670.458849636	564.746954488	75
76	0.248477363631	0.0317329908855	7899.3784169	0.0	202.244494124	355420	670.435120561	564.87658505	76
77	0.139524547315	0.0267972220397	9768.2558268	0.0	215.120333862	355420	671.15403035	561.756664948	77
79	0.274574906012	0.0378160692595	6738.99155041	0.0	205.230511905	355420	672.991921741	558.901447886	79
86	0.0897780784037	0.0258820675607	8457.97617739	0.0	166.265603317	355420	671.75081686	560.011275991	86
87	0.141869245264	0.0243690094538	9288.54890179	0.0	178.502713694	355420	672.120810172	558.654305632	87
88	0.138301685458	0.0236726305075	9742.52649817	0.0	182.18961135	355420	672.306653954	556.567731218	88
89	0.101988870596	0.0295902932602	8084.02912634	0.0	195.68798016	355420	673.32721864	555.888385227	89
90	0.0621252880354	0.0287620712427	8250.97410681	0.0	191.149028192	355420	674.357866191	555.843771758	90
91	0.192447145382	0.0262577202123	7815.87698227	0.0	160.798208835	355420	674.634493482	555.188575471	91
92	0.105896363464	0.0240856016811	8416.29949066	0.0	169.149828355	355420	675.396320509	554.790695597	92
93	0.185941982503	0.0241463472604	8093.05310842	0.0	172.230203661	355420	674.555996799	554.416926471	93
94	0.11677150503	0.0251860323385	7253.61448371	0.0	143.82695869	355420	677.372595381	554.315933638	94
105	0.126086947898	0.0274108522213	6396.30899872	0.0	131.363217585	355420	683.352602991	547.482604733	105
107	0.226678141817	0.0307204459267	5372.39616195	0.0	130.133327654	355420	689.366126316	546.354023851	107
108	0.235266138047	0.0289825590758	6308.05994603	0.0	134.744221232	355420	688.881226242	547.140020644	108
109	0.229902411935	0.0303729427484	6336.78451283	0.0	138.418185077	355420	691.976129589	546.962259353	109
0	0.122874629835	0.0261548928119	8712.45894274	1.0	194.433196384	355420	508.747854508	534.525589042	0
1	0.0302966099239	0.0266720582792	8748.61678365	1.0	195.916157006	355420	508.858331961	534.282673621	1
2	0.101182768205	0.0221621191867	10247.6340001	1.0	186.561948769	355420	508.55011385	533.970671049	2
3	0.0335236139453	0.0221441379422	10075.0117134	1.0	186.232153729	355420	508.683763237	533.850540697	3
4	0.0543721390342	0.0213708093742	10991.0727805	1.0	192.323032939	355420	508.584472843	533.305359081	4
5	0.0262510952831	0.0221646491355	10520.3726865	1.0	186.921652547	355420	507.747060414	533.07439174	5
6	0.0153405092564	0.0230146868912	9727.69364408	1.0	181.314999875	355420	507.790129742	533.641815623	6
7	0.0433067430659	0.0218373045806	10505.4526382	1.0	185.482358854	355420	507.661008924	532.328860048	7
8	0.0144495052453	0.0212158993715	10674.9253326	1.0	185.020197805	355420	508.525612802	532.823304308	8
9	0.0162122725721	0.0221624962709	10149.3279716	1.0	183.809576099	355420	507.698748352	532.723010044	9
10	0.0566577140233	0.0247355741307	9405.67031798	1.0	184.33986097	355420	506.990616226	533.88488498	10
11	0.0622442700913	0.0215258612932	10419.4538342	1.0	184.222558393	355420	507.622446064	533.948942288	11
12	0.00848810344383	0.022841585755	9915.14528142	1.0	183.990887208	355420	507.659541512	534.521343265	12
13	0.0421853989769	0.0216839962315	10557.4212934	1.0	183.575527859	355420	507.694352674	534.018707576	13
14	0.0579768355237	0.0232022348339	9820.79797181	1.0	178.534403438	355420	507.931893495	534.670466945	14
15	0.0806153723895	0.0228444913115	9672.47310607	1.0	182.429531863	355420	505.748333523	535.882822467	15
16	0.032012518822	0.0235530930151	9752.14724719	1.0	184.716286412	355420	503.962890709	536.878136752	16
17	0.0468025391889	0.0226756852191	10200.0906138	1.0	182.977611783	355420	502.840308559	535.879133266	17
18	0.0463676644597	0.0235625216709	10119.7484911	1.0	185.829589292	355420	502.981707441	535.302792364	18
19	0.0275809346221	0.0210662631288	11134.3296767	1.0	188.822814673	355420	504.576384591	536.738748157	19
20	0.0115883850938	0.0218214752851	10771.6570706	1.0	191.016871898	355420	501.61236191	536.751184594	20
21	0.116447552386	0.0264450634401	9034.67645757	1.0	192.210601638	355420	499.98801509	537.182079535	21
22	0.0933242572608	0.0221426025652	10092.123425	1.0	191.540489957	355420	499.584745079	537.797396358	22
23	0.0602391757296	0.0232885359202	9438.36628631	1.0	182.946986984	355420	499.637381474	540.026850515	23
25	0.25266659503	0.024531652952	8769.93249504	1.0	199.298673347	355420	497.248407694	544.521254116	25
26	0.195458532212	0.0265101360427	8166.87552843	1.0	194.959114375	355420	495.851923348	544.515823599	26
28	0.099303226057	0.0249921178293	9081.54470761	1.0	184.840031724	355420	487.436093705	549.336486606	28
29	0.0622705353608	0.0282579785871	9080.4010812	1.0	209.716843745	355420	487.561866925	550.561391749	29
30	0.263552979142	0.0334475388608	7006.07267733	1.0	193.830811834	355420	489.271136439	553.370140648	30
31	0.092245491839	0.0247206262609	10211.1066477	1.0	208.284975691	355420	484.390665135	556.180039722	31
32	0.179799379572	0.0284683556827	8388.1288047	1.0	197.172101612	355420	480.244620278	556.039012914	32
33	0.307544724294	0.0422200484826	5413.38443717	1.0	192.554998662	355420	490.005233207	557.979087555	33
37	0.358653700027	0.0399172100059	5552.47308351	1.0	192.221246489	355420	494.336724792	552.707742263	37
12	0.156644882333	0.022515451054	8133.415346	2.0	168.718916333	355420	525.43782744	527.035409491	12
13	0.145870074929	0.0221735947614	8339.15605037	2.0	170.410748968	355420	525.527253048	526.345587812	13
14	0.177577917274	0.0234022422145	7806.31135663	2.0	158.853445579	355420	525.305559085	526.985236843	14
15	0.159401964891	0.0237702741517	7802.9411962	2.0	164.631528755	355420	525.203976668	527.270100568	15
16	0.0367547993356	0.0230070691618	8620.57818555	2.0	174.535073775	355420	523.229144298	530.604242711	16
17	0.111912370394	0.0277369945406	7932.91781442	2.0	185.164595191	355420	529.1933415	534.159611273	17
18	0.171221775342	0.0290396558127	7619.77164907	2.0	191.897494248	355420	535.129980349	532.548509605	18
19	0.100632160346	0.0253607647781	9006.77055503	2.0	191.931009153	355420	540.940965525	531.822051888	19
20	0.131525144871	0.0259818106873	8495.62942354	2.0	194.868018509	355420	542.26093331	530.904922127	20
21	0.129818642839	0.0243346545082	9503.14116278	2.0	196.101504505	355420	542.133956086	531.555839785	21
22	0.158530392696	0.0245229491758	9140.5258514	2.0	186.198723305	355420	540.342701364	532.31776856	22
23	0.149784857729	0.0250675822596	8989.87599332	2.0	190.666269135	355420	540.328837081	533.466320657	23
24	0.140002691307	0.0284623923416	7958.42678568	2.0	194.682367612	355420	542.177750649	534.297968113	24
25	0.270645019284	0.0265040572702	8635.4849773	2.0	201.671276602	355420	538.428811485	533.691191139	25
26	0.318676259102	0.0290262839593	7189.02177437	2.0	185.784567816	355420	536.123040327	534.252476665	26
27	0.241557802095	0.029177578692	7161.99315541	2.0	186.315330558	355420	539.099129045	534.337085407	27
28	0.232651791884	0.032238444867	6168.93773963	2.0	175.401391806	355420	536.348013558	537.452245705	28
29	0.158846348418	0.0290938166531	8131.60148974	2.0	198.723622097	355420	543.230842061	537.611495244	29
30	0.257231854217	0.0319005268827	6969.62585801	2.0	188.860791018	355420	541.210721555	538.168422357	30
31	0.258989711354	0.0400591668918	4997.12513694	2.0	170.570823714	355420	540.016391396	538.835926573	31
32	0.392792482719	0.0326364669053	5288.01323117	2.0	159.954877613	355420	543.853945358	530.635597948	32
33	0.341817862157	0.0428419436923	4301.74339447	2.0	173.137687872	355420	552.430560087	532.801475533	33
34	0.310747347647	0.034713912201	5534.85198458	2.0	181.319879326	355420	550.649906097	532.395684572	34
35	0.140911103976	0.0357113903899	6091.84304563	2.0	193.193084401	355420	553.375754178	535.21253723	35
41	0.0953325263414	0.023067913888	8693.94821439	2.0	178.319468705	355420	549.494105808	530.396970352	41
42	0.138667989699	0.0236408474043	8751.57842227	2.0	177.278263267	355420	549.555410978	532.228630517	42
43	0.039517722875	0.0213844760186	9075.26917408	2.0	167.824073169	355420	551.137951518	533.38243422	43
44	0.158458354173	0.0243283017773	8212.22833799	2.0	164.689673987	355420	554.833947935	535.2040688	44
45	0.14758652027	0.0233532812268	8175.36858296	2.0	167.131485987	355420	556.758246087	535.295111193	45
46	0.100812562354	0.0250826380512	7675.33301404	2.0	159.009459555	355420	558.685536191	538.091922142	46
47	0.104598634913	0.0211923290861	9010.81016744	2.0	171.029955238	355420	559.367490062	536.43414521	47
48	0.0886724008667	0.0224772286376	8521.38682084	2.0	164.763436649	355420	560.423791263	536.306423072	48
49	0.100940206788	0.0220815818446	9216.97870203	2.0	168.619334044	355420	561.106034367	537.296509611	49
50	0.0371274509122	0.0269501247705	8208.38048034	2.0	179.383671819	355420	560.692864097	536.011571481	50
51	0.103331380763	0.0224881830867	9609.63295374	2.0	191.454942781	355420	561.421965056	535.28677394	51
52	0.06770116515	0.0242834346232	9382.94645169	2.0	176.88653882	355420	562.997745012	535.004612863	52
53	0.0753718570866	0.0224951822897	10009.059007	2.0	202.797353796	355420	563.234793938	534.306231075	53
54	0.0486402030956	0.0237619328169	9106.11243467	2.0	176.923547304	355420	563.981622408	535.149452256	54
55	0.0533923353736	0.0229130163785	9000.15505363	2.0	175.40324058	355420	563.905309198	536.359639152	55
56	0.0800913467101	0.0226187277622	8917.64136431	2.0	172.398846505	355420	563.953417813	536.463424759	56
57	0.0867315063393	0.0237709468893	8925.64151304	2.0	179.945230102	355420	565.470160979	536.410120549	57
58	0.0885882260607	0.0236881468524	9187.40351089	2.0	185.551562036	355420	566.777822773	536.480804183	58
59	0.033601741124	0.0253315128038	8965.34217173	2.0	186.490168441	355420	567.466395365	537.071750419	59
60	0.164811505407	0.0227353696837	9663.69222648	2.0	181.787752693	355420	568.212570011	535.835232483	60
61	0.166083120512	0.023150604654	8486.58447175	2.0	179.676141211	355420	566.810751313	533.58154125	61
62	0.144299282395	0.0215778574741	9327.01094088	2.0	172.08507271	355420	566.445890029	531.997174418	62
63	0.212710173195	0.0228281842292	8692.48973966	2.0	177.869648857	355420	566.478544682	531.703417542	63
64	0.239049878668	0.0232313525976	8660.22492457	2.0	167.138007837	355420	567.080450013	531.19163275	64
65	0.156299622243	0.0221996980521	8995.47612705	2.0	174.195183198	355420	566.598885582	531.488666494	65
66	0.250277614562	0.023952894032	8172.42167419	2.0	175.818179515	355420	567.535315385	531.614457999	66
67	0.237869962093	0.0228682188123	7964.35797566	2.0	152.628624211	355420	567.361083935	531.920798219	67
68	0.188783982023	0.0232142334872	7355.49441097	2.0	153.056209939	355420	569.724649985	532.309314773	68
70	0.196153498702	0.0222135992346	8065.21288243	2.0	161.322282485	355420	569.487066665	531.821983116	70
71	0.19961478719	0.0223730707277	8398.14717893	2.0	169.113981147	355420	570.482637092	532.715657427	71
72	0.197543839304	0.0232968831106	8224.72175594	2.0	164.226674237	355420	570.517755326	533.075719397	72
73	0.169839761292	0.0226653789026	8464.86668292	2.0	166.702186113	355420	571.537278271	533.083458994	73
74	0.190294657205	0.0233956024351	8078.1499428	2.0	179.798485014	355420	570.710978709	532.658035354	74
75	0.208634123799	0.0231114239417	8303.95856687	2.0	165.945074308	355420	571.480210349	532.780614118	75
76	0.145764165037	0.0211376928702	9269.53931402	2.0	164.893033498	355420	573.127416598	534.609931268	76
77	0.134514911018	0.0213603017269	9623.94593617	2.0	167.614593468	355420	571.497056013	533.535895394	77
78	0.156432309922	0.0214081650315	9903.49451553	2.0	170.811581404	355420	570.345932893	532.859845344	78
79	0.123513401135	0.0207188601846	9828.94921457	2.0	160.999798133	355420	571.187041578	533.716390904	79
80	0.10466058401	0.0208515512208	9647.2507949	2.0	168.205821263	355420	571.440045192	532.764735596	80
81	0.155146756467	0.0216283778078	10043.5867917	2.0	181.949036082	355420	570.387094073	532.732461036	81
82	0.076878556597	0.0204603715749	9887.56481437	2.0	156.243031867	355420	570.379476516	532.008207619	82
83	0.0976822159946	0.0209233799477	10825.9331682	2.0	179.240301639	355420	570.774349077	532.357351366	83
84	0.10516022694	0.0209987485302	10584.0851687	2.0	167.313329311	355420	571.169316197	532.878175023	84
85	0.0647139242189	0.0202535856676	10758.2409361	2.0	164.507299281	355420	571.244328323	531.921411764	85
86	0.045416950479	0.0202526089257	10718.2896495	2.0	158.177006399	355420	571.144672674	531.06194149	86
87	0.0946920036173	0.0212455153076	10848.3879999	2.0	173.925721035	355420	571.135645862	531.910646606	87
88	0.0476467031949	0.0202723432292	11311.7079895	2.0	168.756275951	355420	571.100403876	530.880703831	88
89	0.0416933198657	0.0205817534308	10873.9050597	2.0	164.836271576	355420	570.815564893	530.994073138	89
90	0.0406046532088	0.0209390752928	11479.4636564	2.0	176.242911314	355420	571.024168408	528.93135083	90
91	0.0371508209923	0.0205848793239	10968.6059083	2.0	163.508291007	355420	571.156474699	529.998510277	91
92	0.0680514704199	0.0216317196821	10963.1875798	2.0	174.408372242	355420	571.698756503	530.110487143	92
93	0.0458828603945	0.021357041826	11051.8796841	2.0	172.230203661	355420	571.991650784	528.984195901	93
94	0.0286957668901	0.0213799106413	11321.9880286	2.0	169.259774556	355420	571.960428298	530.942405187	94
95	0.0117721818893	0.0211797775107	11372.8161692	2.0	172.967180509	355420	571.846217974	528.990923322	95
96	0.040426767895	0.0218851587885	11252.1909231	2.0	178.469352622	355420	571.763687766	528.985675886	96
97	0.0666487904947	0.0219318258852	10922.7766432	2.0	171.886653859	355420	571.736591049	529.077812144	97
98	0.0419076047302	0.0215830742829	11184.8084524	2.0	174.54225044	355420	570.90097792	528.073059628	98
99	0.0480780440747	0.0218915782908	11347.7486876	2.0	172.940263479	355420	571.169019298	528.028385795	99
100	0.0438676808089	0.0218123187745	11300.7865215	2.0	173.447727012	355420	571.133603202	527.939157565	100
101	0.0371508059771	0.0218681463553	11325.1671643	2.0	171.645981211	355420	571.955340165	528.993020306	101
102	0.0546938755132	0.0228446255014	10818.0960212	2.0	176.835970775	355420	571.45491018	528.917531377	102
103	0.064131117523	0.0228080055754	11148.1404581	2.0	180.964952544	355420	571.812654123	529.02034681	103
104	0.037441808863	0.0224311366769	11404.3476378	2.0	172.713846741	355420	571.847051075	528.218016339	104
105	0.041296347289	0.0226484567286	11149.6780296	2.0	171.85188054	355420	572.123566342	528.013232091	105
106	0.0741716116107	0.0232172190023	11071.4089971	2.0	178.357494012	355420	572.155488916	528.026782483	106
107	0.0529916744976	0.0228758722679	11061.3328506	2.0	170.580172736	355420	571.335560789	527.051971896	107
108	0.0346699563731	0.0230726503073	11585.2343091	2.0	170.737540602	355420	571.072560946	527.965659203	108
109	0.0581225530571	0.0234911891465	10952.5695912	2.0	172.561337396	355420	570.749050905	527.230600943	109
110	0.0626639789208	0.0234825905117	11054.2096708	2.0	171.616251291	355420	571.888499631	528.039373097	110
111	0.0437666889221	0.0234838821087	11072.5934281	2.0	165.946792289	355420	571.17669827	527.954025401	111
112	0.064133051896	0.0241662040509	11293.5631682	2.0	178.988406387	355420	571.135101814	526.921765417	112
113	0.0882017568109	0.0255276598815	10781.689025	2.0	179.276814149	355420	570.777693251	526.933317212	113
114	0.0645288314573	0.0242640487542	11015.979644	2.0	177.823423671	355420	570.919529534	526.172967482	114
15	0.137719093633	0.0225103128811	8263.46452664	3.0	167.597862606	355420	535.612313286	517.843887104	15
16	0.0869621625527	0.0230251872102	8401.68211385	3.0	177.443991671	355420	530.848776404	520.472514913	16
17	0.19082318582	0.0241631885323	7903.02904119	3.0	158.920794297	355420	530.819240693	519.838981662	17
18	0.189919369558	0.0230356714075	7990.67233954	3.0	172.17680314	355420	530.645468566	518.299837507	18
19	0.22666474326	0.0239636371309	7869.17137528	3.0	176.390036752	355420	532.518209576	517.896634861	19
20	0.0914962858761	0.0193209576492	9963.68651159	3.0	175.612285455	355420	540.336090051	515.095305974	20
21	0.0728530568454	0.0190755831117	10956.0042934	3.0	173.534267876	355420	540.203352128	515.109538243	21
22	0.119173494255	0.0212457085442	9134.42097523	3.0	176.278299522	355420	539.733258983	516.463349244	22
24	0.206908973371	0.024565404051	7803.77990495	3.0	165.637014379	355420	533.141469811	511.971998428	24
25	0.109872085689	0.0280168680518	7177.91571151	3.0	170.036566546	355420	538.006730257	506.895693343	25
26	0.178769307182	0.0258385505172	8052.95824199	3.0	175.080930164	355420	542.644308086	503.851250987	26
27	0.205189551248	0.0245660586907	8494.86436632	3.0	187.111549919	355420	547.534164192	502.350612517	27
28	0.112089274157	0.0223779514613	9864.16526747	3.0	185.626585051	355420	551.47679878	500.527105224	28
29	0.0061573827246	0.024579457099	9282.50723304	3.0	187.73040045	355420	554.06285749	499.463635274	29
30	0.0313947970084	0.0256332440801	9178.80011084	3.0	183.890770202	355420	555.994727996	497.377533951	30
31	0.0674085085922	0.0296918864343	7600.25876316	3.0	188.570759884	355420	558.299770996	494.621218267	31
32	0.0347325096256	0.0256402084911	9411.20653676	3.0	201.13138076	355420	559.439224526	492.651999903	32
33	0.0617405358658	0.0256308137848	9279.85644811	3.0	196.600271743	355420	560.253296018	490.651021755	33
34	0.175281894524	0.0285847684218	8796.93866148	3.0	212.236172114	355420	561.64401469	484.549648272	34
35	0.101318178082	0.0297192953544	8772.3970917	3.0	214.658982668	355420	563.695989512	483.587682532	35
36	0.136885109729	0.0361909270976	7701.38220895	3.0	220.246660795	355420	563.804532266	487.998483365	36
37	0.142197805077	0.0291735213273	8790.39170587	3.0	202.753917529	355420	566.742696206	487.430548398	37
38	0.165341249773	0.0345209588376	6290.45560871	3.0	186.484332828	355420	570.818794023	488.077524197	38
39	0.168491003378	0.0316618994432	7301.31309741	3.0	190.415869749	355420	571.083843139	490.817227728	39
40	0.0915115306335	0.0266700762813	8882.51307516	3.0	196.99797779	355420	571.336094297	493.316982482	40
41	0.180745081555	0.0320605365907	7649.3807384	3.0	215.906415539	355420	575.155623636	491.30614281	41
42	0.257425789145	0.0326736849189	7566.79794994	3.0	196.58579689	355420	576.231842354	496.229382743	42
44	0.177830359835	0.0309514716973	8717.87014785	3.0	210.980825594	355420	582.34160856	490.743347116	44
45	0.251630857036	0.0419374776809	6333.4036795	3.0	208.474537784	355420	583.000565283	494.688986706	45
46	0.0252203047123	0.0607400792909	4971.27889003	3.0	227.794450486	355420	587.38138043	497.55376911	46
47	0.212661529814	0.0413147885493	7069.53201572	3.0	221.28102456	355420	590.328097219	492.567316003	47
48	0.183322022655	0.0643206321265	4882.34140383	3.0	227.106358624	355420	594.962315681	490.624767042	48
50	0.0436197953804	0.0324830773974	8521.17512417	3.0	220.8492442	355420	601.449398469	487.635192252	50
52	0.214020119596	0.0414562870149	6400.63940719	3.0	207.841683113	355420	608.367314325	482.928305988	52
58	0.178015792236	0.0236250997128	8271.78458794	3.0	184.684498662	355420	607.585914332	483.415166424	58
59	0.0854092363773	0.0249695257032	8161.53501053	3.0	168.359179843	355420	609.539566457	485.110580211	59
60	0.0820540757896	0.0259158557185	8294.40537287	3.0	175.456835932	355420	612.51160796	484.037313855	60
61	0.0693506303484	0.0255105480395	9071.86615946	3.0	184.123570449	355420	614.088769216	482.477753968	61
62	0.0476672708467	0.0249747200187	9468.20894925	3.0	194.147261519	355420	616.34117485	483.508604137	62
63	0.116422796173	0.0233333080174	9924.23705799	3.0	194.767265499	355420	617.873694719	482.32980194	63
64	0.0962525631653	0.0227129628776	9961.95586391	3.0	195.436506518	355420	620.298538316	481.332505101	64
65	0.080227397066	0.0225344105333	9970.6004859	3.0	194.471871189	355420	623.702901101	481.352126218	65
66	0.0867211882477	0.0241798746215	9450.45026843	3.0	174.925701446	355420	627.614381562	481.984707385	66
67	0.13470765162	0.0222790761338	9095.23789891	3.0	163.339404858	355420	631.948495019	479.466989738	67
68	0.134531057687	0.0232225054596	8494.61965161	3.0	170.648877748	355420	634.375974178	479.336798272	68
69	0.0712052881596	0.0240134062318	7161.38305695	3.0	151.361037363	355420	635.589794047	478.454639029	69
70	0.07772549669	0.0237080653998	6415.03914372	3.0	136.08751204	355420	637.951701905	477.292809128	70
72	0.0844221303842	0.0246682749202	5888.06179316	3.0	130.310295862	355420	641.520534973	473.114353023	72
73	0.130541625776	0.0240143499669	6076.97050347	3.0	133.36174889	355420	644.601293593	472.381049355	73
